nombre,nota1,nota2,nota3
Diego Garcia 58,5.4,4.6,9.0
Valentina Garcia 59,5.3,5.6,4.3
Andres Garcia 60,9.2,7.4,9.6
Ana Perez 61,8.0,5.5,9.9
Luis Perez 62,7.9,7.2,6.9
Maria Perez 63,7.3,4.3,6.3
Carlos Perez 64,5.8,4.9,4.2
Sofia Perez 65,5.9,8.4,7.2
Pedro Perez 66,9.3,9.8,4.1
Lucia Perez 67,8.2,5.5,6.8
Diego Perez 68,8.5,9.1,6.7
Valentina Perez 69,8.9,4.6,6.9
Andres Perez 70,4.0,8.2,4.9
Ana Sanchez 71,4.6,6.4,5.5
Luis Sanchez 72,4.9,5.2,4.7
Maria Sanchez 73,5.5,9.8,8.1
Carlos Sanchez 74,8.5,9.6,6.2
Sofia Sanchez 75,6.7,8.0,5.9
Pedro Sanchez 76,5.9,4.3,7.1
Lucia Sanchez 77,7.7,9.0,6.4
Diego Sanchez 78,7.4,6.8,6.4
Valentina Sanchez 79,4.5,5.6,9.4
Andres Sanchez 80,7.6,7.1,7.2
Ana Gomez 81,8.3,6.0,4.4
Luis Gomez 82,5.0,5.7,5.6
Maria Gomez 83,5.6,5.8,9.7
Carlos Gomez 84,9.0,5.0,7.1
Sofia Gomez 85,4.2,6.8,5.2
Pedro Gomez 86,4.2,6.6,5.2
Lucia Gomez 87,5.9,4.4,6.3
Diego Gomez 88,6.9,6.8,8.3
Valentina Gomez 89,6.2,8.8,4.8
Andres Gomez 90,9.5,4.2,5.3
Ana Diaz 91,8.5,7.7,4.2
Luis Diaz 92,4.5,10.0,6.0
Maria Diaz 93,6.7,6.1,9.4
Carlos Diaz 94,5.8,7.4,9.2
Sofia Diaz 95,6.5,6.8,4.1
Pedro Diaz 96,6.8,5.5,7.7
Lucia Diaz 97,8.5,9.0,7.2
Diego Diaz 98,5.6,5.5,6.8
Valentina Diaz 99,7.8,5.3,8.8
Andres Diaz 100,5.9,7.1,8.6
Ana Torres 101,5.6,5.9,6.5
Luis Torres 102,6.1,7.9,8.5
Maria Torres 103,7.7,9.5,5.8
Carlos Torres 104,6.0,5.7,10.0
Sofia Torres 105,5.2,7.6,9.5
Pedro Torres 106,8.6,4.2,4.6
Lucia Torres 107,6.1,7.9,7.0
Diego Torres 108,5.0,7.6,6.4
Valentina Torres 109,8.0,8.1,4.6
Andres Torres 110,7.1,4.5,4.7
Ana Mendoza 111,5.7,8.7,4.1
Luis Mendoza 112,6.0,5.6,4.4
Maria Mendoza 113,6.7,4.4,7.5
Carlos Mendoza 114,4.7,9.8,5.0
Sofia Mendoza 115,4.6,8.8,5.5
Pedro Mendoza 116,9.7,6.2,5.3
Lucia Mendoza 117,5.4,8.0,7.8
Diego Mendoza 118,8.5,5.1,9.2
Valentina Mendoza 119,7.7,7.8,9.7
Andres Mendoza 120,5.0,8.7,8.1
Ana Vargas 121,6.8,4.3,7.7
Luis Vargas 122,4.6,6.1,6.3
Maria Vargas 123,4.4,8.5,5.0
Carlos Vargas 124,9.1,7.7,7.8
Sofia Vargas 125,5.5,7.2,4.1
Pedro Vargas 126,6.2,4.3,8.8
Lucia Vargas 127,6.4,5.0,4.1
Diego Vargas 128,5.1,4.8,8.6
Valentina Vargas 129,8.2,4.7,5.8
Andres Vargas 130,7.1,9.1,5.3
Ana Ruiz 131,6.7,5.6,9.5
Luis Ruiz 132,6.4,9.9,9.7
Maria Ruiz 133,9.5,9.0,4.6
Carlos Ruiz 134,6.8,9.0,7.8
Sofia Ruiz 135,4.6,4.0,7.8
Pedro Ruiz 136,8.2,9.7,9.3
Lucia Ruiz 137,7.3,5.9,6.5
Diego Ruiz 138,7.1,4.9,6.2
Valentina Ruiz 139,9.2,8.4,9.4
Andres Ruiz 140,7.7,6.0,6.4
Ana Lopez 141,5.8,9.3,5.4
Luis Lopez 142,4.8,5.5,9.0
Maria Lopez 143,8.0,7.7,7.0
Carlos Lopez 144,8.7,4.4,5.2
Sofia Lopez 145,6.3,9.6,8.1
Pedro Lopez 146,6.5,7.1,5.9
Lucia Lopez 147,5.6,4.1,5.6
Diego Lopez 148,5.4,4.6,7.6
Valentina Lopez 149,6.3,6.4,4.3
Andres Lopez 150,8.3,6.9,7.8
Ana Garcia 151,5.3,4.3,9.6
Luis Garcia 152,5.7,8.9,4.3
Maria Garcia 153,9.7,6.6,8.7
Carlos Garcia 154,6.4,5.3,9.0
Sofia Garcia 155,9.6,7.8,6.3
Pedro Garcia 156,4.3,7.0,5.8
Lucia Garcia 157,6.6,5.2,8.3
Diego Garcia 158,8.5,9.9,7.2
Valentina Garcia 159,9.1,8.2,5.7
Andres Garcia 160,5.2,4.2,9.4
Ana Perez 161,5.1,7.5,6.7
Luis Perez 162,4.4,8.7,9.9
Maria Perez 163,5.1,9.5,5.9
Carlos Perez 164,5.9,9.3,4.4
Sofia Perez 165,5.4,6.3,6.2
Pedro Perez 166,8.0,7.8,5.3
Lucia Perez 167,9.1,8.4,7.4
Diego Perez 168,8.3,9.8,7.8
Valentina Perez 169,9.5,5.1,5.0
Andres Perez 170,5.1,7.1,5.3
Ana Sanchez 171,5.0,5.9,10.0
Luis Sanchez 172,4.8,5.4,4.7
Maria Sanchez 173,5.9,7.4,5.7
Carlos Sanchez 174,4.4,6.3,8.9
Sofia Sanchez 175,8.6,4.2,7.0
Pedro Sanchez 176,9.7,6.4,4.6
Lucia Sanchez 177,7.1,7.7,6.4
Diego Sanchez 178,7.0,6.1,5.5
Valentina Sanchez 179,4.3,8.3,6.1
Andres Sanchez 180,8.8,4.2,4.2
Ana Gomez 181,5.8,4.5,4.1
Luis Gomez 182,5.6,4.5,6.7
Maria Gomez 183,4.3,8.3,5.9
Carlos Gomez 184,4.5,6.9,7.3
Sofia Gomez 185,7.2,4.7,8.5
Pedro Gomez 186,8.5,5.7,6.3
Lucia Gomez 187,9.4,7.4,8.8
Diego Gomez 188,8.3,6.9,6.3
Valentina Gomez 189,9.1,7.7,7.5
Andres Gomez 190,9.3,9.3,8.2
Ana Diaz 191,5.9,8.1,6.3
Luis Diaz 192,7.8,8.8,7.2
Maria Diaz 193,9.7,8.7,8.4
Carlos Diaz 194,8.1,4.9,4.4
Sofia Diaz 195,4.6,8.1,6.5
Pedro Diaz 196,6.1,6.4,7.3
Lucia Diaz 197,7.9,4.1,5.5
Diego Diaz 198,7.3,8.1,4.6
Valentina Diaz 199,8.1,4.3,5.7
Andres Diaz 200,6.8,8.7,4.6
Ana Torres 201,9.2,5.3,7.1
Luis Torres 202,6.8,5.3,5.7
Maria Torres 203,7.6,7.1,8.4
Carlos Torres 204,7.6,8.6,6.7
Sofia Torres 205,4.8,6.9,8.2
Pedro Torres 206,4.6,5.7,9.9
Lucia Torres 207,5.3,4.7,6.9
Diego Torres 208,7.4,4.4,6.5
Valentina Torres 209,5.4,7.1,5.1
Andres Torres 210,9.8,6.5,9.7
Ana Mendoza 211,7.3,4.7,5.1
Luis Mendoza 212,8.7,6.4,9.2
Maria Mendoza 213,6.9,8.2,4.9
Carlos Mendoza 214,9.0,7.5,7.5
Sofia Mendoza 215,6.7,9.5,5.1
Pedro Mendoza 216,8.1,8.3,8.7
Lucia Mendoza 217,7.5,4.7,6.5
Diego Mendoza 218,9.4,4.2,4.6
Valentina Mendoza 219,4.1,8.2,9.5
Andres Mendoza 220,9.3,5.0,5.9
Ana Vargas 221,9.6,5.9,9.3
Luis Vargas 222,6.0,6.9,8.8
Maria Vargas 223,8.8,9.2,6.9
Carlos Vargas 224,4.6,9.0,5.2
Sofia Vargas 225,4.0,6.1,7.3
Pedro Vargas 226,4.5,6.9,6.5
Lucia Vargas 227,7.0,5.7,8.6
Diego Vargas 228,8.3,9.5,5.6
Valentina Vargas 229,7.2,9.5,7.2
Andres Vargas 230,4.2,9.8,8.0
Ana Ruiz 231,8.1,8.2,5.1
Luis Ruiz 232,5.4,5.6,4.3
Maria Ruiz 233,7.5,5.3,9.8
Carlos Ruiz 234,9.5,8.2,6.8
Sofia Ruiz 235,7.0,8.5,8.0
Pedro Ruiz 236,8.3,5.7,4.0
Lucia Ruiz 237,9.7,5.2,6.6
Diego Ruiz 238,4.7,5.0,9.6
Valentina Ruiz 239,5.5,8.7,6.3
Andres Ruiz 240,8.5,7.6,8.9
Ana Lopez 241,7.7,6.9,5.3
Luis Lopez 242,4.6,6.4,6.7
Maria Lopez 243,6.1,8.4,5.6
Carlos Lopez 244,7.4,6.9,7.4
Sofia Lopez 245,4.6,9.0,4.9
Pedro Lopez 246,4.3,7.0,9.8
Lucia Lopez 247,8.1,9.6,7.7
Diego Lopez 248,6.6,9.4,6.3
Valentina Lopez 249,6.8,9.9,5.5
Andres Lopez 250,5.1,9.1,6.9
Ana Garcia 251,5.0,6.9,5.6
Luis Garcia 252,8.2,7.4,6.0
Maria Garcia 253,8.5,7.8,9.0
Carlos Garcia 254,8.6,8.7,4.6
Sofia Garcia 255,6.2,8.7,4.8
Pedro Garcia 256,4.7,9.4,4.0
Lucia Garcia 257,9.7,8.0,7.5
Diego Garcia 258,7.5,7.5,6.5
Valentina Garcia 259,8.0,4.3,5.4
Andres Garcia 260,4.2,6.3,6.8
Ana Perez 261,8.7,8.2,9.9
Luis Perez 262,5.1,4.8,8.0
Maria Perez 263,8.8,7.0,8.8
Carlos Perez 264,5.2,5.8,4.2
Sofia Perez 265,6.6,5.1,5.9
Pedro Perez 266,4.2,6.2,4.7
Lucia Perez 267,9.1,8.9,6.8
Diego Perez 268,4.5,6.7,7.1
Valentina Perez 269,8.2,4.6,5.3
Andres Perez 270,5.8,6.2,4.7
Ana Sanchez 271,6.5,4.4,9.7
Luis Sanchez 272,7.2,8.1,8.1
Maria Sanchez 273,4.4,4.4,9.3
Carlos Sanchez 274,4.8,7.9,7.2
Sofia Sanchez 275,7.9,5.0,5.0
Pedro Sanchez 276,5.4,4.5,7.6
Lucia Sanchez 277,8.6,6.9,8.4
Diego Sanchez 278,5.3,8.1,7.4
Valentina Sanchez 279,5.0,4.3,5.4
Andres Sanchez 280,8.5,5.7,8.4
Ana Gomez 281,5.0,8.1,6.5
Luis Gomez 282,9.0,7.4,8.8
Maria Gomez 283,9.4,6.1,8.7
Carlos Gomez 284,7.6,7.2,9.3
Sofia Gomez 285,9.2,5.8,9.0
Pedro Gomez 286,4.9,7.6,5.2
Lucia Gomez 287,7.5,9.0,6.3
Diego Gomez 288,9.0,6.5,6.4
Valentina Gomez 289,8.3,7.9,6.4
Andres Gomez 290,6.4,8.9,8.3
Ana Diaz 291,6.4,4.2,9.7
Luis Diaz 292,8.7,4.7,7.1
Maria Diaz 293,6.6,8.8,4.1
Carlos Diaz 294,6.1,4.8,7.2
Sofia Diaz 295,6.5,5.3,7.0
Pedro Diaz 296,9.8,8.4,4.4
Lucia Diaz 297,8.0,5.2,5.9
Diego Diaz 298,9.2,7.7,7.1
Valentina Diaz 299,8.3,5.2,9.0
Andres Diaz 300,9.2,8.7,6.5
Ana Torres 301,7.2,5.2,8.6
Luis Torres 302,8.0,8.7,8.2
Maria Torres 303,5.5,6.7,4.7
Carlos Torres 304,4.2,4.6,5.5
Sofia Torres 305,7.4,8.5,4.6
Pedro Torres 306,9.4,4.2,6.5
Lucia Torres 307,8.5,9.5,9.7
Diego Torres 308,5.3,8.9,5.0
Valentina Torres 309,5.3,7.3,8.7
Andres Torres 310,9.5,5.9,8.1
Ana Mendoza 311,6.3,9.1,6.7
Luis Mendoza 312,4.2,9.8,8.3
Maria Mendoza 313,7.0,7.0,8.0
Carlos Mendoza 314,5.3,8.0,7.4
Sofia Mendoza 315,5.4,4.7,7.7
Pedro Mendoza 316,6.9,6.0,7.6
Lucia Mendoza 317,6.8,5.8,5.0
Diego Mendoza 318,8.0,6.4,6.9
Valentina Mendoza 319,8.4,7.6,6.0
Andres Mendoza 320,7.6,9.5,5.9
Ana Vargas 321,7.9,5.7,7.3
Luis Vargas 322,7.1,10.0,5.1
Maria Vargas 323,8.7,5.3,6.0
Carlos Vargas 324,9.7,6.2,9.3
Sofia Vargas 325,5.7,7.3,4.7
Pedro Vargas 326,5.1,4.5,4.5
Lucia Vargas 327,7.8,6.9,6.4
Diego Vargas 328,5.9,9.5,5.9
Valentina Vargas 329,9.8,4.9,6.4
Andres Vargas 330,4.0,4.9,8.9
Ana Ruiz 331,4.5,6.8,8.4
Luis Ruiz 332,9.8,6.0,6.3
Maria Ruiz 333,9.1,5.8,8.0
Carlos Ruiz 334,4.6,4.5,9.5
Sofia Ruiz 335,5.3,6.1,4.6
Pedro Ruiz 336,4.2,7.5,6.8
Lucia Ruiz 337,7.7,9.9,5.6
Diego Ruiz 338,7.7,7.6,5.8
Valentina Ruiz 339,7.4,6.1,6.2
Andres Ruiz 340,8.0,8.5,7.3
Ana Lopez 341,4.0,6.0,7.8
Luis Lopez 342,4.2,4.6,7.4
Maria Lopez 343,4.4,8.6,7.3
Carlos Lopez 344,4.7,8.9,6.0
Sofia Lopez 345,4.4,4.5,8.8
Pedro Lopez 346,8.0,9.0,8.8
Lucia Lopez 347,5.1,8.8,7.0
Diego Lopez 348,8.6,4.5,9.7
Valentina Lopez 349,5.2,6.0,5.2
Andres Lopez 350,6.9,5.6,5.6
Ana Garcia 351,6.1,9.1,6.7
Luis Garcia 352,6.9,7.3,8.0
Maria Garcia 353,8.9,5.1,4.7
Carlos Garcia 354,7.0,8.6,9.9
Sofia Garcia 355,7.7,7.5,8.3
Pedro Garcia 356,4.9,8.5,9.8
Lucia Garcia 357,9.3,5.2,7.6
Diego Garcia 358,8.0,9.0,9.0
Valentina Garcia 359,8.1,8.4,6.6
Andres Garcia 360,8.8,8.1,5.3
Ana Perez 361,8.1,9.8,4.4
Luis Perez 362,9.7,4.6,9.5
Maria Perez 363,5.8,4.6,4.1
Carlos Perez 364,6.5,5.8,9.7
Sofia Perez 365,6.0,4.0,7.4
Pedro Perez 366,8.6,5.4,5.9
Lucia Perez 367,9.2,7.2,6.0
Diego Perez 368,8.0,5.2,7.7
Valentina Perez 369,7.9,4.0,7.1
Andres Perez 370,6.4,5.1,9.1
Ana Sanchez 371,4.0,7.3,8.3
Luis Sanchez 372,9.2,4.2,6.3
Maria Sanchez 373,9.1,6.6,7.8
Carlos Sanchez 374,8.9,6.4,4.6
Sofia Sanchez 375,4.5,9.2,6.3
Pedro Sanchez 376,9.4,9.9,9.0
Lucia Sanchez 377,9.5,5.1,9.0
Diego Sanchez 378,8.5,5.0,5.5
Valentina Sanchez 379,9.0,5.3,7.9
Andres Sanchez 380,9.2,6.6,9.1
Ana Gomez 381,8.2,9.5,9.3
Luis Gomez 382,6.0,9.0,7.3
Maria Gomez 383,5.8,6.8,7.4
Carlos Gomez 384,8.8,7.3,5.8
Sofia Gomez 385,5.3,6.9,6.4
Pedro Gomez 386,5.1,9.2,7.1
Lucia Gomez 387,7.9,4.2,6.5
Diego Gomez 388,9.0,6.1,4.3
Valentina Gomez 389,7.3,8.0,8.6
Andres Gomez 390,7.0,4.3,7.1
Ana Diaz 391,6.7,6.8,4.4
Luis Diaz 392,5.1,9.5,6.8
Maria Diaz 393,6.9,8.6,5.0
Carlos Diaz 394,4.7,5.9,9.2
Sofia Diaz 395,4.2,9.9,9.2
Pedro Diaz 396,4.6,6.5,4.6
Lucia Diaz 397,8.9,8.6,9.2
Diego Diaz 398,4.5,4.0,4.3
Valentina Diaz 399,6.8,8.6,6.8
Andres Diaz 400,7.1,4.2,9.7
Ana Torres 401,6.2,6.1,7.4
Luis Torres 402,4.7,7.4,6.4
Maria Torres 403,9.1,6.1,6.9
Carlos Torres 404,7.5,9.4,9.7
Sofia Torres 405,8.0,9.7,6.3
Pedro Torres 406,9.5,4.8,4.8
Lucia Torres 407,5.6,8.0,5.8
Diego Torres 408,4.7,6.0,5.8
Valentina Torres 409,7.2,6.4,4.1
Andres Torres 410,5.4,4.8,6.5
Ana Mendoza 411,5.2,8.3,4.8
Luis Mendoza 412,4.3,4.1,7.6
Maria Mendoza 413,7.8,5.2,9.3
Carlos Mendoza 414,6.2,9.0,6.9
Sofia Mendoza 415,7.2,4.5,8.5
Pedro Mendoza 416,4.0,8.9,9.7
Lucia Mendoza 417,9.2,6.3,8.4
Diego Mendoza 418,6.4,4.6,5.2
Valentina Mendoza 419,7.7,7.4,4.3
Andres Mendoza 420,5.9,8.2,9.1
Ana Vargas 421,8.7,6.9,5.4
Luis Vargas 422,8.0,6.7,5.5
Maria Vargas 423,4.7,9.8,7.3
Carlos Vargas 424,7.8,4.3,6.1
Sofia Vargas 425,9.1,9.7,5.3
Pedro Vargas 426,9.0,5.6,4.4
Lucia Vargas 427,9.2,7.6,4.3
Diego Vargas 428,9.2,9.0,4.2
Valentina Vargas 429,8.2,6.1,7.6
Andres Vargas 430,6.1,8.1,6.6
Ana Ruiz 431,8.8,4.6,9.7
Luis Ruiz 432,8.0,4.5,7.8
Maria Ruiz 433,6.6,9.9,9.5
Carlos Ruiz 434,6.7,7.1,5.1
Sofia Ruiz 435,4.2,6.5,7.1
Pedro Ruiz 436,4.1,5.4,8.3
Lucia Ruiz 437,6.3,6.0,6.4
Diego Ruiz 438,8.7,8.4,4.4
Valentina Ruiz 439,8.9,7.1,6.3
Andres Ruiz 440,8.7,5.8,7.1
Ana Lopez 441,4.1,8.3,7.8
Luis Lopez 442,9.2,8.9,5.5
Maria Lopez 443,5.4,4.5,9.2
Carlos Lopez 444,9.3,7.2,7.5
Sofia Lopez 445,8.1,9.9,8.8
Pedro Lopez 446,7.8,4.2,7.2
Lucia Lopez 447,8.2,8.9,5.7
Diego Lopez 448,4.8,8.3,9.7
Valentina Lopez 449,9.9,8.1,10.0
Andres Lopez 450,7.2,5.5,7.9
Ana Garcia 451,4.4,8.8,8.6
Luis Garcia 452,7.5,9.0,9.2
Maria Garcia 453,5.7,5.9,8.7
Carlos Garcia 454,6.5,4.5,6.4
Sofia Garcia 455,4.0,7.9,7.6
Pedro Garcia 456,5.1,9.7,6.2
Lucia Garcia 457,9.7,8.5,5.2
Diego Garcia 458,9.9,9.9,7.8
Valentina Garcia 459,7.1,5.0,4.3
Andres Garcia 460,5.8,8.6,6.2
Ana Perez 461,5.4,8.4,5.2
Luis Perez 462,5.0,9.3,8.9
Maria Perez 463,6.8,8.2,4.6
Carlos Perez 464,9.3,6.7,6.8
Sofia Perez 465,4.5,6.6,5.6
Pedro Perez 466,4.9,6.9,5.8
Lucia Perez 467,6.6,7.7,4.3
Diego Perez 468,5.0,5.6,6.9
Valentina Perez 469,9.3,5.2,7.5
Andres Perez 470,5.6,6.7,6.5
Ana Sanchez 471,8.1,4.7,8.0
Luis Sanchez 472,7.8,4.8,8.7
Maria Sanchez 473,9.3,8.5,9.0
Carlos Sanchez 474,9.6,9.1,6.6
Sofia Sanchez 475,4.7,8.1,9.4
Pedro Sanchez 476,8.0,9.5,6.9
Lucia Sanchez 477,5.3,8.9,8.8
Diego Sanchez 478,9.9,6.0,4.4
Valentina Sanchez 479,4.2,4.5,7.9
Andres Sanchez 480,9.6,5.4,7.9
Ana Gomez 481,5.5,9.0,9.5
Luis Gomez 482,4.3,5.9,8.8
Maria Gomez 483,8.5,5.5,4.5
Carlos Gomez 484,8.9,9.7,5.1
Sofia Gomez 485,9.9,6.4,6.0
Pedro Gomez 486,5.2,6.1,5.0
Lucia Gomez 487,7.0,7.8,7.9
Diego Gomez 488,6.3,8.2,8.5
Valentina Gomez 489,9.5,4.3,6.0
Andres Gomez 490,4.2,9.6,7.8
Ana Diaz 491,7.3,9.4,7.7
Luis Diaz 492,6.9,8.7,5.0
Maria Diaz 493,4.4,6.0,6.3
Carlos Diaz 494,4.6,8.1,8.9
Sofia Diaz 495,6.9,8.5,4.1
Pedro Diaz 496,8.5,8.5,8.9
Lucia Diaz 497,9.6,9.1,4.1
Diego Diaz 498,6.9,7.3,6.0
Valentina Diaz 499,4.6,6.6,6.6
Andres Diaz 500,6.2,9.5,7.9
Ana Torres 501,5.9,8.6,9.4
Luis Torres 502,4.5,5.4,9.2
Maria Torres 503,4.7,9.1,7.4
Carlos Torres 504,8.7,7.0,6.9
Sofia Torres 505,9.5,6.7,9.0
Pedro Torres 506,7.8,8.7,9.2
Lucia Torres 507,9.6,6.6,7.6
Diego Torres 508,7.4,8.9,5.8
Valentina Torres 509,4.4,8.4,9.2
Andres Torres 510,9.4,8.3,9.7
Ana Mendoza 511,6.7,5.3,7.6
Luis Mendoza 512,8.1,7.5,4.0
Maria Mendoza 513,5.7,7.9,9.0
Carlos Mendoza 514,6.8,8.4,8.8
Sofia Mendoza 515,9.8,5.5,9.7
Pedro Mendoza 516,9.7,7.6,6.7
Lucia Mendoza 517,7.0,5.3,6.2
Diego Mendoza 518,7.0,5.6,9.6
Valentina Mendoza 519,8.3,5.1,5.9
Andres Mendoza 520,5.5,6.6,6.0
Ana Vargas 521,9.7,6.5,6.1
Luis Vargas 522,8.8,9.0,7.8
Maria Vargas 523,7.2,8.1,6.8
Carlos Vargas 524,8.4,4.6,5.3
Sofia Vargas 525,4.0,4.9,4.6
Pedro Vargas 526,8.3,4.8,7.7
Lucia Vargas 527,4.5,4.2,5.4
Diego Vargas 528,6.6,8.0,8.4
Valentina Vargas 529,8.0,7.8,4.7
Andres Vargas 530,5.9,4.2,6.7
Ana Ruiz 531,8.3,5.8,5.8
Luis Ruiz 532,9.5,6.1,4.4
Maria Ruiz 533,5.7,5.7,8.8
Carlos Ruiz 534,8.2,9.5,4.4
Sofia Ruiz 535,10.0,8.0,7.0
Pedro Ruiz 536,9.1,7.0,8.4
Lucia Ruiz 537,8.4,6.9,4.7
Diego Ruiz 538,8.7,7.2,6.4
Valentina Ruiz 539,5.7,5.5,8.7
Andres Ruiz 540,8.2,9.3,9.0
Ana Lopez 541,4.9,9.1,7.3
Luis Lopez 542,4.4,6.6,8.1
Maria Lopez 543,8.6,5.3,9.6
Carlos Lopez 544,9.8,5.4,10.0
Sofia Lopez 545,8.0,9.3,5.5
Pedro Lopez 546,4.4,8.2,8.3
Lucia Lopez 547,9.2,4.1,7.3
Diego Lopez 548,6.6,6.7,6.5
Valentina Lopez 549,4.6,4.8,5.3
Andres Lopez 550,4.6,5.0,6.2
Ana Garcia 551,5.3,7.4,5.4
Luis Garcia 552,7.8,7.8,8.7
Maria Garcia 553,4.4,6.9,6.5
Carlos Garcia 554,5.8,7.8,8.4
Sofia Garcia 555,4.2,7.5,9.5
Pedro Garcia 556,6.4,6.1,4.1
Lucia Garcia 557,9.6,4.8,9.7
Diego Garcia 558,7.3,5.9,5.8
Valentina Garcia 559,5.3,9.7,4.8
Andres Garcia 560,6.5,5.9,8.2
Ana Perez 561,5.1,5.7,6.3
Luis Perez 562,7.9,6.5,5.7
Maria Perez 563,8.5,6.3,7.9
Carlos Perez 564,4.5,9.4,7.9
Sofia Perez 565,4.7,6.7,4.4
Pedro Perez 566,9.2,7.7,7.2
Lucia Perez 567,7.0,9.0,7.8
Diego Perez 568,4.3,9.2,6.6
Valentina Perez 569,8.2,9.2,4.5
Andres Perez 570,8.2,9.0,8.6
Ana Sanchez 571,10.0,4.1,9.2
Luis Sanchez 572,9.9,5.7,4.9
Maria Sanchez 573,4.9,6.0,7.3
Carlos Sanchez 574,9.8,5.4,9.2
Sofia Sanchez 575,5.0,8.0,9.5
Pedro Sanchez 576,7.6,9.7,4.8
Lucia Sanchez 577,7.7,5.5,7.9
Diego Sanchez 578,4.6,8.5,6.4
Valentina Sanchez 579,4.7,6.8,9.4
Andres Sanchez 580,7.5,5.6,6.4
Ana Gomez 581,7.6,9.7,4.7
Luis Gomez 582,9.8,6.9,7.7
Maria Gomez 583,4.6,4.8,6.7
Carlos Gomez 584,4.6,4.0,6.8
Sofia Gomez 585,7.3,6.2,9.5
Pedro Gomez 586,9.5,5.1,7.2
Lucia Gomez 587,7.7,7.1,6.5
Diego Gomez 588,5.9,7.6,6.2
Valentina Gomez 589,8.8,8.6,6.4
Andres Gomez 590,9.9,9.5,4.1
Ana Diaz 591,4.9,6.4,7.6
Luis Diaz 592,8.6,7.1,5.2
Maria Diaz 593,5.3,4.3,5.0
Carlos Diaz 594,7.1,8.5,7.0
Sofia Diaz 595,6.4,8.9,9.3
Pedro Diaz 596,4.6,9.8,9.6
Lucia Diaz 597,8.2,4.2,6.0
Diego Diaz 598,4.3,8.2,7.9
Valentina Diaz 599,6.4,6.7,4.3
Andres Diaz 600,9.4,7.5,8.3
Ana Torres 601,4.9,7.5,9.5
Luis Torres 602,7.6,5.6,9.9
Maria Torres 603,5.0,8.7,7.3
Carlos Torres 604,5.7,8.3,9.2
Sofia Torres 605,8.3,4.5,6.6
Pedro Torres 606,7.4,5.0,4.2
Lucia Torres 607,4.0,8.8,7.2
Diego Torres 608,7.2,6.3,7.1
Valentina Torres 609,6.4,5.9,9.0
Andres Torres 610,7.6,4.9,6.8
Ana Mendoza 611,7.7,8.3,7.0
Luis Mendoza 612,7.5,4.1,5.6
Maria Mendoza 613,9.1,9.3,4.6
Carlos Mendoza 614,5.2,9.1,9.3
Sofia Mendoza 615,7.1,7.1,7.8
Pedro Mendoza 616,4.4,5.8,9.4
Lucia Mendoza 617,5.5,6.6,7.2
Diego Mendoza 618,5.8,7.0,8.4
